siteID,X,Y,amRivDist,asRivDist,confDist,kopDist,binTerm,mpAvgTerm10,nearTerm,TM50,TM100,TM300,TMgt300,lriskDry,lriskWet,mpAvgTree10,asAvgTree10,nearTree,T25,T50,T100,T150,T200,T250,habitat,woodland
B03,695075,9731632,3025.18733,3025.187409,3334.826383,5799.827115,0,1500,1500,0,0,0,0,0.000359709,0.000395928,19.3,81.1,13,11,8,15,11,13,170,WOODLAND,SPARSE
B04,695238,9729497,2125.665985,1649.2395,2218.615169,6847.218456,0,1500,1500,0,0,0,0,0.000477992,0.000496262,5.5,10.5,1,500,500,500,500,500,500,WOODLAND,DENSE
B05,694892,9727162,2085.902114,1013.889717,699.7965626,5742.552009,0,1500,1500,0,0,0,0,0.000582477,0.0005352,5.5,18.6,1,500,500,500,500,500,500,WOODLAND,DENSE
B06,694963,9724748,4135.914833,2935.747739,1104.754274,4573.639611,0,1500,1500,0,0,0,0,0.001216255,0.000579536,5.5,100.6,1,500,500,500,500,500,500,WOODLAND,DENSE
B07,695026,9722578,3908.45593,1259.639695,1285.152173,4466.605015,0,1500,1500,0,0,0,0,0.001029718,0.000651795,71.7,0,23,2,0,6,10,21,59,GRASSLAND,GRASSLAND
B08,694921,9720450,3217.364445,1864.601441,1888.142069,5432.385857,0,1500,1500,0,0,0,0,0.000734411,0.000642968,257.8,377.5,159,0,0,0,0,1,3,GRASSLAND,GRASSLAND
C02,697372,9733742,3164.598476,1768.352411,3700.378919,2682.85558,0,1500,1500,0,0,0,0,0.00014143,0.001032328,12.3,18.1,1,15,12,23,18,10,6,WOODLAND,MODERATE
C03,697344,9731655,1760.624752,2602.995485,2785.996249,4300.254062,1,1379.2,292,0,0,1,0,0.000728435,0.001177337,19.6,27.4,10,12,23,52,9,11,31,WOODLAND,MODERATE
C04,697247,9729343,2415.964562,2541.356381,2505.576925,4838.842077,1,49.4,18,5,8,10,11,0.001304691,0.001085263,191.2,321.5,13,1,0,0,1,4,1,GRASSLAND,GRASSLAND
C05,697171,9726974,3426.804685,2953.569716,1627.754309,4046.384588,1,46.4,6,6,8,12,0,0.001927314,0.000850366,860,953,220,0,0,0,0,0,5,GRASSLAND,GRASSLAND
C06,697336,9725161,3792.059418,3154.448605,2772.723534,2584.619795,0,1500,1500,0,0,0,0,0.001671976,0.000930004,15.8,171.9,7,10,18,56,19,500,500,WOODLAND,MODERATE
C07,697230,9722727,5043.27246,2606.414222,2658.242594,2306.226477,0,1500,1500,0,0,0,0,0.001591948,0.000901829,176.5,169.5,21,1,0,1,1,1,26,GRASSLAND,GRASSLAND
C08,697574,9720330,4854.555232,2724.989828,3542.464761,3688.909193,0,1500,1500,0,0,0,0,0.001402209,0.000845882,116.4,151.8,81,0,0,2,11,27,34,GRASSLAND,GRASSLAND
C09,697270,9718230,3693.014555,2487.465252,2477.06795,5718.87082,0,1500,1500,0,0,0,0,0.001261854,0.000839222,39.6,335.8,10,5,3,1,1,0,0,WOODLAND,SPARSE
C10,697349,9715985,3975.238154,3092.511844,3048.428454,7827.543387,0,1500,1500,0,0,0,0,0.000452724,0.000496611,12.1,49.5,2,11,6,23,17,500,500,WOODLAND,SPARSE
C11,697264,9713665,4244.495406,4244.495406,4365.586579,8377.955532,0,1500,1500,0,0,0,0,0.000220007,0.000357828,5.5,26.5,1,500,500,500,500,500,500,WOODLAND,DENSE
C12,697302,9711291,1932.138842,1932.138842,2002.981615,6713.860681,0,1500,1500,0,0,0,0,0.000377199,0.000352893,44.9,136.2,21,2,3,10,13,500,500,WOODLAND,SPARSE
C13,697193,9709244,62.83237195,62.8323347,439.3254022,5134.300838,0,1500,1500,0,0,0,0,0.000370085,0.000270387,48.2,76.7,6,2,2,26,500,500,500,WOODLAND,SPARSE
D02,699396,9733829,1971.527233,486.2714977,2195.271595,1504.92718,1,82.2,25,3,4,7,0,0.001013086,0.001532526,21.2,34.8,1,5,14,22,5,34,34,WOODLAND,MODERATE
D03,699427,9731593,527.1018093,528.6077591,758.7392694,3396.963191,1,1356.9,69,0,1,0,0,0.009946824,0.003550316,28.4,25.8,4,3,12,21,44,21,12,WOODLAND,MODERATE
D04,699543,9729343,408.2805408,408.2804862,310.2253057,2543.649933,0,1500,1500,0,0,0,0,0.006754582,0.00303471,5.5,17.7,1,500,500,500,500,500,500,WOODLAND,DENSE
D05,699577,9726907,1125.654714,1125.654678,1202.167567,3321.17399,1,691.9,80,0,2,4,0,0.004577013,0.002599549,106.8,173,7,1,1,2,4,4,19,WOODLAND,SPARSE
D06,699250,9724612,2287.020783,1316.05026,1702.836972,1032.654141,0,1500,1500,0,0,0,0,0.002523818,0.001913582,253.6,316.9,16,3,0,0,1,0,1,GRASSLAND,GRASSLAND
D07,699479,9722596,3723.246387,487.2553673,582.4835278,947.1778417,0,1500,1500,0,0,0,0,0.00207487,0.001431365,83.2,190,47,0,1,8,4,12,27,WOODLAND,SPARSE
D08,699492,9720169,5743.82732,873.0724841,2882.622362,3373.86464,1,1352,20,1,0,0,0,0.001562768,0.001281992,61.7,93,23,3,1,5,1,3,3,WOODLAND,SPARSE
D09,699532,9718268,5929.237662,1577.514045,4718.293228,5275.258048,0,1500,1500,0,0,0,0,0.001518921,0.001517675,257.3,274.6,80,0,0,1,1,3,2,GRASSLAND,GRASSLAND
D10,699199,9716027,5723.61159,3799.653808,4672.818896,7517.874924,0,1500,1500,0,0,0,0,0.000591544,0.000632205,23.5,44.3,18,8,4,4,0,0,0,WOODLAND,SPARSE
D11,699280,9713661,3884.290774,3441.670108,3424.451879,9793.222215,0,1500,1500,0,0,0,0,0.000487256,0.000549703,500,891.2,500,0,0,0,0,0,0,GRASSLAND,GRASSLAND
D12,699570,9711452,1769.343452,1769.343452,2284.525302,8378.56239,0,1500,1500,0,0,0,0,0.000868425,0.000680201,83.2,121.2,55,0,0,8,9,7,1,GRASSLAND,GRASSLAND
